# "No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.3","23.53.40.192","TCP","54","57433 → 443 [FIN, ACK] Seq=1 Ack=1 Win=1024 Len=0"
"2","0.471119","10.0.0.3","51.104.15.253","TCP","66","59038 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"3","0.737249","51.104.15.253","10.0.0.3","TCP","66","443 → 59038 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM=1"
"4","0.737328","10.0.0.3","51.104.15.253","TCP","54","59038 → 443 [ACK] Seq=1 Ack=1 Win=263424 Len=0"
"5","0.737657","10.0.0.3","51.104.15.253","TLSv1.2","571","Client Hello"
"6","1.005092","51.104.15.253","10.0.0.3","TLSv1.2","147","[TCP Previous segment not captured] , Ignored Unknown Record"
"7","1.005092","51.104.15.253","10.0.0.3","TCP","1506","[TCP Out-Of-Order] 443 → 59038 [ACK] Seq=1 Ack=518 Win=525056 Len=1452"
"8","1.005092","51.104.15.253","10.0.0.3","TCP","1506","[TCP Out-Of-Order] 443 → 59038 [ACK] Seq=1453 Ack=518 Win=525056 Len=1452"
"9","1.005092","51.104.15.253","10.0.0.3","TCP","1506","[TCP Out-Of-Order] 443 → 59038 [ACK] Seq=2905 Ack=518 Win=525056 Len=1452"
"10","1.005141","10.0.0.3","51.104.15.253","TCP","66","[TCP Dup ACK 4#1] 59038 → 443 [ACK] Seq=518 Ack=1 Win=263424 Len=0 SLE=4357 SRE=4450"
"11","1.005184","10.0.0.3","51.104.15.253","TCP","54","59038 → 443 [ACK] Seq=518 Ack=4450 Win=263424 Len=0"
"12","1.006543","10.0.0.3","51.104.15.253","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"13","1.122186","10.0.0.3","51.104.15.253","TCP","66","59039 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"14","1.273619","51.104.15.253","10.0.0.3","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"15","1.274243","10.0.0.3","51.104.15.253","TLSv1.2","861","Application Data"
"16","1.387304","51.104.15.253","10.0.0.3","TCP","66","443 → 59039 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM=1"
"17","1.387390","10.0.0.3","51.104.15.253","TCP","54","59039 → 443 [ACK] Seq=1 Ack=1 Win=263424 Len=0"
"18","1.387825","10.0.0.3","51.104.15.253","TLSv1.2","571","Client Hello"
"19","1.431078","10.0.0.3","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"20","1.593125","51.104.15.253","10.0.0.3","TCP","60","443 → 59038 [ACK] Seq=4501 Ack=1483 Win=525568 Len=0"
"21","1.653566","51.104.15.253","10.0.0.3","TCP","1506","443 → 59039 [ACK] Seq=1 Ack=518 Win=525056 Len=1452 [TCP segment of a reassembled PDU]"
"22","1.653566","51.104.15.253","10.0.0.3","TCP","1506","443 → 59039 [ACK] Seq=1453 Ack=518 Win=525056 Len=1452 [TCP segment of a reassembled PDU]"
"23","1.653566","51.104.15.253","10.0.0.3","TCP","147","[TCP Previous segment not captured] 443 → 59039 [PSH, ACK] Seq=4357 Ack=518 Win=525056 Len=93 [TCP segment of a reassembled PDU]"
"24","1.653566","51.104.15.253","10.0.0.3","TCP","1506","[TCP Out-Of-Order] 443 → 59039 [ACK] Seq=2905 Ack=518 Win=525056 Len=1452"
"25","1.653651","10.0.0.3","51.104.15.253","TCP","66","59039 → 443 [ACK] Seq=518 Ack=2905 Win=263424 Len=0 SLE=4357 SRE=4450"
"26","1.653666","10.0.0.3","51.104.15.253","TCP","54","59039 → 443 [ACK] Seq=518 Ack=4450 Win=263424 Len=0"
"27","1.655148","10.0.0.3","51.104.15.253","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"28","1.920452","51.104.15.253","10.0.0.3","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"29","1.923303","10.0.0.3","51.104.15.253","TLSv1.2","1939","Application Data"
"30","2.188029","51.104.15.253","10.0.0.3","TCP","66","[TCP Dup ACK 28#1] 443 → 59039 [ACK] Seq=4501 Ack=676 Win=524800 Len=0 SLE=2116 SRE=2561"
"31","2.188029","51.104.15.253","10.0.0.3","TCP","60","443 → 59039 [ACK] Seq=4501 Ack=2561 Win=525568 Len=0"
"32","2.312674","10.0.0.3","117.18.232.200","TCP","54","58841 → 443 [FIN, ACK] Seq=1 Ack=1 Win=1023 Len=0"
"33","2.378541","51.104.15.253","10.0.0.3","TLSv1.2","486","Application Data"
"34","2.378541","51.104.15.253","10.0.0.3","TCP","486","[TCP Out-Of-Order] 443 → 59038 [FIN, PSH, ACK] Seq=4501 Ack=1483 Win=525568 Len=432"
"35","2.378684","10.0.0.3","51.104.15.253","TCP","66","59038 → 443 [ACK] Seq=1483 Ack=4934 Win=262912 Len=0 SLE=4501 SRE=4933"
"36","2.380160","10.0.0.3","51.104.15.253","TLSv1.2","85","Encrypted Alert"
"37","2.380426","10.0.0.3","51.104.15.253","TCP","54","59038 → 443 [FIN, ACK] Seq=1514 Ack=4934 Win=262912 Len=0"
"38","2.437158","10.0.0.3","224.0.0.252","IGMPv2","46","Membership Report group 224.0.0.252"
"39","2.437310","10.0.0.3","239.255.255.250","IGMPv2","46","Membership Report group 239.255.255.250"
"40","2.584946","51.104.15.253","10.0.0.3","TLSv1.2","486","Application Data"
"41","2.585026","10.0.0.3","51.104.15.253","TCP","54","59039 → 443 [ACK] Seq=2561 Ack=4934 Win=262912 Len=0"
"42","2.585054","51.104.15.253","10.0.0.3","TCP","486","[TCP Spurious Retransmission] 443 → 59039 [FIN, PSH, ACK] Seq=4501 Ack=2561 Win=525568 Len=432"
"43","2.585076","10.0.0.3","51.104.15.253","TCP","66","[TCP Dup ACK 41#1] 59039 → 443 [ACK] Seq=2561 Ack=4934 Win=262912 Len=0 SLE=4501 SRE=4933"
"44","2.585584","10.0.0.3","51.104.15.253","TLSv1.2","85","Encrypted Alert"
"45","2.586020","10.0.0.3","51.104.15.253","TCP","54","59039 → 443 [FIN, ACK] Seq=2592 Ack=4934 Win=262912 Len=0"
"46","2.646512","51.104.15.253","10.0.0.3","TCP","60","443 → 59038 [ACK] Seq=4934 Ack=1515 Win=525568 Len=0"
"47","2.850564","51.104.15.253","10.0.0.3","TCP","60","443 → 59039 [ACK] Seq=4934 Ack=2593 Win=525568 Len=0"
"48","3.140248","10.0.0.3","10.0.0.1","DNS","85","Standard query 0x749e A vortex.data.microsoft.com"
